# Layer 2 (Die attach) 열화 예제, 열화배율 2.5
# P=10 W, T0=25 degC, step heating, noise sigma=0.002 degC
# Rth_total=0.85769 K/W
time_s,temperature_C,delta_temperature_C,Zth_K_per_W
1.055386e-4,25.075443,0.075443315,0.0075443315
1.122451e-4,25.074062,0.074062319,0.0074062319
1.193777e-4,25.078463,0.078462527,0.0078462527
1.269635e-4,25.082255,0.082255142,0.0082255142
1.350314e-4,25.082183,0.082183103,0.0082183103
1.436120e-4,25.083667,0.083666909,0.0083666909
1.527378e-4,25.089015,0.089015388,0.0089015388
1.624435e-4,25.092786,0.092785863,0.0092785863
1.727660e-4,25.097722,0.097721918,0.0097721918
1.837444e-4,25.097852,0.097852385,0.0097852385
1.954204e-4,25.101757,0.10175723,0.010175723
2.078384e-4,25.107827,0.10782721,0.010782721
2.210455e-4,25.109092,0.10909248,0.010909248
2.350918e-4,25.115431,0.11543081,0.011543081
2.500307e-4,25.118632,0.11863235,0.011863235
2.659189e-4,25.126692,0.12669168,0.012669168
2.828167e-4,25.127627,0.1276274,0.01276274
3.007883e-4,25.136944,0.13694434,0.013694434
3.199018e-4,25.135603,0.13560325,0.013560325
3.402300e-4,25.143773,0.14377274,0.014377274
3.618499e-4,25.153181,0.15318094,0.015318094
3.848436e-4,25.156986,0.156986,0.0156986
4.092985e-4,25.170406,0.17040612,0.017040612
4.353073e-4,25.174961,0.17496094,0.017496094
4.629689e-4,25.17811,0.17810967,0.017810967
4.923883e-4,25.188422,0.18842246,0.018842246
5.236771e-4,25.196786,0.19678598,0.019678598
5.569541e-4,25.210708,0.2107076,0.02107076
5.923457e-4,25.214061,0.21406119,0.021406119
6.299863e-4,25.227131,0.22713089,0.022713089
6.700188e-4,25.239616,0.23961635,0.023961635
7.125951e-4,25.251912,0.25191246,0.025191246
7.578769e-4,25.259034,0.25903372,0.025903372
8.060361e-4,25.278478,0.27847834,0.027847834
8.572557e-4,25.292352,0.29235187,0.029235187
9.117299e-4,25.3067,0.30669985,0.030669985
9.696658e-4,25.32148,0.32148002,0.032148002
0.0010312832,25.340232,0.34023199,0.034023199
0.001096816,25.358488,0.35848792,0.035848792
0.0011665131,25.375816,0.37581636,0.037581636
0.0012406392,25.399252,0.39925228,0.039925228
0.0013194755,25.415993,0.41599251,0.041599251
0.0014033215,25.437463,0.43746304,0.043746304
0.0014924955,25.45982,0.45982029,0.045982029
0.0015873361,25.486486,0.48648602,0.048648602
0.0016882033,25.510288,0.51028819,0.051028819
0.0017954801,25.543504,0.54350384,0.054350384
0.0019095738,25.569639,0.56963906,0.056963906
0.0020309176,25.600488,0.60048836,0.060048836
0.0021599722,25.630284,0.63028353,0.063028353
0.0022972275,25.66543,0.66542952,0.066542952
0.0024432048,25.700061,0.70006129,0.070006129
0.0025984581,25.741169,0.74116904,0.074116904
0.002763577,25.781365,0.78136509,0.078136509
0.0029391884,25.824091,0.82409069,0.082409069
0.003125959,25.868015,0.86801492,0.086801492
0.0033245979,25.914837,0.91483657,0.091483657
0.0035358594,25.964558,0.96455789,0.096455789
0.0037605454,26.012225,1.0122255,0.10122255
0.0039995091,26.064265,1.0642652,0.10642652
0.0042536577,26.124098,1.1240976,0.11240976
0.0045239562,26.181542,1.181542,0.1181542
0.0048114308,26.24508,1.2450803,0.12450803
0.005117173,26.306268,1.3062679,0.13062679
0.0054423435,26.371428,1.3714283,0.13714283
0.005788177,26.440129,1.4401294,0.14401294
0.0061559865,26.516347,1.5163466,0.15163466
0.0065471684,26.589398,1.5893979,0.15893979
0.0069632079,26.67054,1.6705402,0.16705402
0.0074056847,26.747902,1.7479018,0.17479018
0.0078762786,26.829399,1.8293995,0.18293995
0.0083767764,26.912608,1.9126077,0.19126077
0.0089090783,27.002629,2.002629,0.2002629
0.0094752053,27.093145,2.0931448,0.20931448
0.010077307,27.186748,2.1867484,0.21867484
0.010717669,27.278686,2.2786857,0.22786857
0.011398723,27.378429,2.3784285,0.23784285
0.012123054,27.473296,2.4732963,0.24732963
0.012893413,27.576999,2.5769986,0.25769986
0.013712724,27.680332,2.6803317,0.26803317
0.014584099,27.780271,2.7802706,0.27802706
0.015510845,27.884274,2.8842738,0.28842738
0.016496481,27.991525,2.9915247,0.29915247
0.017544749,28.098567,3.0985667,0.30985667
0.018659629,28.202385,3.2023847,0.32023847
